References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
BT1,1,9V  clip,Cliff,FC6830,Keystone,232,RS Pro,489021,Bud Industries,HH-3449,36-232-ND,534232,489021,,1650667
"C1, C2, C6",3,10pF radial 2.54mm 50V,Multicomp,MC0805N100J101A2.54MM,KEMET,C315C100J5G5TA,,,,,399-13908-ND,80C315C100J5G,1463557,,1694175
"C3, C4, C5, C7, C10",5,100nF radial 2.54mm 50V,Multicomp,MC0805Y104M500A2.54MM,KEMET,C320C104K1R5TA,,,,,399-4263-ND,80C320C104K1R,8015404,,2112751
C8,1,47uF 63V THT,Panasonic,ECA-1JHG470,,,,,,,P5581-ND,667ECA1JHG470,3654357,,9693033
"D1, D2, D3, D4",4,silicon PIN photodiode,Osram Opto,BPW 34 FA,Osram Opto,BPW 34 F,,,,,475-1072-ND,720BPW34FA,6547921,,2981621
J3,1,male BNC  connector,Multicomp,13-25,TE Connectivity,5-1634523-1,Adam Tech,RF1-106-D-00-50-HDW,,,2057-RF1-106-D-00-50-HDW-ND,571516345231,5121174,,1169699
R1,1,4.7k 1%  axial,Multicomp,MCMF006FF4701A50,Vishay,MRS25000C4701FCT00,TE Connectivity,LR1F4K7,,,A105962CT-ND,279LR1F4K7,6833799,,2401772
R2,1,15k 1% axial,Multicomp,MCMF006FF1502A50,Vishay,MRS25000C1502FCT00,TE Connectivity,LR1F15K,,,BC4005CT-ND,594MRS25000C1502FCT,6833055,,2401785
R3,1,10Mega 1% axial,Multicomp,MCMF006FF1005A50,Vishay,MRS25000C1005FCT00,TE Connectivity,LR1F10M,,,BC3961CT-ND,279LR1F10M,6832945,,2401834
R4,1,1k 1% axial,Multicomp,MCMF006FF1001A50,Vishay,MRS25000C1001FCT00,TE Connectivity,LR1F1K0,,,BC3325CT-ND,594MRS251K1%TR,6833165,,2401753
R5,1,100k 1% axial,Multicomp,MCMF006FF1003A50,Vishay,MRS25000C1003FCT00,TE Connectivity,LR1F100K,,,BC3327CT-ND,594MRS25000C1003FCT,6832923,,2401807
"R6, R7",2,10k 1% axial,Multicomp,MCMF006FF1002A50,Vishay,MRS25000C1002FRP00,TE Connectivity,LR1F10K,,,PPC10.0KZCT-ND,594MRS2510K00F,1251164,,2401780
R9,1,2.2k 1% axial,Multicomp,MCMF006FF2201A50,Vishay,MRS25000C2201FCT00,TE Connectivity,LR1F2K2,,,BC4060CT-ND,594MRS25000C2201FCT,6833449,,9466711
SW1,1,SPDT switch on-none-on,Multicomp,1MS1T1B1M1QE,TE Connectivity,A101SYZQ04,RS Pro,7347062,,,450-1523-ND,506A101SYZQ04,7347062,,9473416
U1,1,TLE2072CP/ACP,Texas Instruments,TLE2072CP,Texas Instruments,TL072ACP,,,,,296-10426-5-ND,595TLE2072CP,834156,,3117961
